week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2018-08-26,ALADDIN,"$1,339,909","$1,709,374",78.4%,$100.71,$200,13305,13816,8,96.3%
2018-08-26,ANASTASIA,"$730,124","$1,093,588",66.8%,$85.32,$273,8557,9144,8,93.6%
2018-08-26,BEAUTIFUL,"$580,345","$1,106,908",52.4%,$84.66,$247,6855,8208,8,83.5%
2018-08-26,CAROUSEL,"$606,103","$1,622,728",37.4%,$79.08,$323,7664,11424,8,67.1%
2018-08-26,CHICAGO,"$625,397","$958,024",65.3%,$83.13,$187,7523,8640,8,87.1%
2018-08-26,COME FROM AWAY,"$1,055,803","$1,260,966",83.7%,$123.62,$347,8541,8368,8,102.1%
2018-08-26,DEAR EVAN HANSEN,"$1,583,121","$1,425,136",111.1%,$198.19,$448,7988,7872,8,101.5%
2018-08-26,FROZEN,"$1,988,339","$2,244,976",88.6%,$151.18,$325,13152,13472,8,97.6%
2018-08-26,GETTIN' THE BAND BACK TOGETHER,"$181,549","$778,520",23.3%,$39.43,$248,4604,7640,8,60.3%
2018-08-26,HAMILTON,"$3,249,628","$2,895,648",112.2%,$302.18,$849,10754,10568,8,101.8%
2018-08-26,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,187,788","$1,988,464",110.0%,$168.60,$297,12976,12976,8,100.0%
2018-08-26,HEAD OVER HEELS,"$240,516","$883,552",27.2%,$64.97,$258,3702,7704,8,48.1%
2018-08-26,"HELLO, DOLLY!","$2,342,741","$1,911,926",122.5%,$199.94,$673,11717,11568,8,101.3%
2018-08-26,KINKY BOOTS,"$543,702","$1,294,256",42.0%,$83.01,$249,6550,11392,8,57.5%
2018-08-26,MEAN GIRLS,"$1,565,689","$1,469,426",106.6%,$158.34,$378,9888,9800,8,100.9%
2018-08-26,MY FAIR LADY,"$1,162,403","$1,396,120",83.3%,$148.46,$323,7830,8552,8,91.6%
2018-08-26,ONCE ON THIS ISLAND,"$411,114","$792,176",51.9%,$94.75,$250,4339,5568,8,77.9%
2018-08-26,PRETTY WOMAN: THE MUSICAL,"$1,155,322","$1,365,328",84.6%,$123.91,$275,9324,9344,8,99.8%
2018-08-26,SCHOOL OF ROCK,"$716,158","$1,443,688",49.6%,$89.56,$223,7996,12184,8,65.6%
2018-08-26,SPONGEBOB SQUAREPANTS,"$917,993","$1,408,776",65.2%,$80.87,$248,11352,12880,8,88.1%
2018-08-26,SPRINGSTEEN ON BROADWAY,"$1,928,960","$1,907,420",101.1%,$508.69,$850,3792,3792,4,100.0%
2018-08-26,STRAIGHT WHITE MEN,"$355,682","$638,296",55.7%,$81.97,$249,4339,4648,8,93.4%
2018-08-26,SUMMER,"$679,069","$1,455,668",46.7%,$91.67,$297,7408,11760,8,63.0%
2018-08-26,THE BAND'S VISIT,"$894,198","$1,024,568",87.3%,$109.49,$297,8167,8312,8,98.3%
2018-08-26,THE BOOK OF MORMON,"$1,105,742","$1,190,502",92.9%,$128.16,$478,8628,8376,8,103.0%
2018-08-26,THE LION KING,"$2,160,990","$2,228,027",97.0%,$161.58,$225,13374,13568,8,98.6%
2018-08-26,THE PHANTOM OF THE OPERA,"$998,161","$1,356,418",73.6%,$88.48,$213,11281,12840,8,87.9%
2018-08-26,THE PLAY THAT GOES WRONG,"$310,524","$677,688",45.8%,$65.10,$197,4770,6832,8,69.8%
2018-08-26,WAITRESS,"$577,784","$1,019,480",56.7%,$94.27,$270,6129,8360,8,73.3%
2018-08-26,WICKED,"$1,467,931","$1,779,845",82.5%,$114.02,$240,12874,14456,8,89.1%
2018-08-19,ALADDIN,"$1,451,802","$1,725,520",84.1%,$108.64,$216,13364,13816,8,96.7%
2018-08-19,ANASTASIA,"$697,960","$1,093,588",63.8%,$88.02,$273,7930,9144,8,86.7%
2018-08-19,BEAUTIFUL,"$595,815","$1,106,908",53.8%,$82.91,$247,7186,8208,8,87.5%
2018-08-19,CAROUSEL,"$606,811","$1,622,728",37.4%,$75.85,$323,8000,11424,8,70.0%
2018-08-19,CHICAGO,"$692,435","$958,024",72.3%,$86.04,$187,8048,8640,8,93.1%
2018-08-19,COME FROM AWAY,"$1,093,467","$1,260,966",86.7%,$128.46,$347,8512,8368,8,101.7%
2018-08-19,DEAR EVAN HANSEN,"$1,600,432","$1,425,136",112.3%,$200.18,$448,7995,7872,8,101.6%
2018-08-19,FROZEN,"$2,116,258","$2,244,976",94.3%,$160.08,$325,13220,13472,8,98.1%
2018-08-19,GETTIN' THE BAND BACK TOGETHER,"$175,334","$778,520",22.5%,$36.00,$248,4871,7640,8,63.8%
2018-08-19,HAMILTON,"$3,115,391","$2,895,648",107.6%,$289.72,$849,10753,10568,8,101.8%
2018-08-19,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,245,282","$1,988,464",112.9%,$173.03,$297,12976,12976,8,100.0%
2018-08-19,HEAD OVER HEELS,"$261,546","$883,552",29.6%,$62.87,$258,4160,7704,8,54.0%
2018-08-19,"HELLO, DOLLY!","$2,147,856","$1,911,926",112.3%,$183.33,$673,11716,11568,8,101.3%
2018-08-19,KINKY BOOTS,"$627,289","$1,294,256",48.5%,$86.13,$249,7283,11392,8,63.9%
2018-08-19,MEAN GIRLS,"$1,577,293","$1,469,426",107.3%,$159.42,$378,9894,9800,8,101.0%
2018-08-19,MY FAIR LADY,"$1,183,506","$1,396,120",84.8%,$151.05,$323,7835,8552,8,91.6%
2018-08-19,ONCE ON THIS ISLAND,"$457,570","$792,176",57.8%,$102.66,$250,4457,5568,8,80.0%
2018-08-19,PRETTY WOMAN: THE MUSICAL,"$1,065,917","$1,365,328",78.1%,$113.47,$275,9394,9344,8,100.5%
2018-08-19,SCHOOL OF ROCK,"$850,477","$1,443,688",58.9%,$89.70,$223,9481,12184,8,77.8%
